"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 21 21:07:07 GMT 2022","Tue Jun 21 21:07:07 GMT 2022","240","","tests.DualListBoxTest","","tests.DualListBoxTest","TestAddSingleElement","TestAddSingleElement()",""
"broken","Tue Jun 21 21:07:07 GMT 2022","Tue Jun 21 21:07:07 GMT 2022","149","","tests.RadioButtonTest","","tests.RadioButtonTest","TestMultipleCheckedButton","TestMultipleCheckedButton()",""
"broken","Tue Jun 21 21:07:07 GMT 2022","Tue Jun 21 21:07:07 GMT 2022","142","","tests.ProgressBarTest","","tests.ProgressBarTest","TestProgressBarDownload","TestProgressBarDownload()",""
"broken","Tue Jun 21 21:07:07 GMT 2022","Tue Jun 21 21:07:07 GMT 2022","142","","tests.AlertTest","","tests.AlertTest","TestSubmitValidInput","TestSubmitValidInput()",""
"broken","Tue Jun 21 21:07:08 GMT 2022","Tue Jun 21 21:07:08 GMT 2022","158","","tests.InputFieldTest","","tests.InputFieldTest","TestSumTwoNumbers","TestSumTwoNumbers()",""
"broken","Tue Jun 21 21:07:06 GMT 2022","Tue Jun 21 21:07:06 GMT 2022","839","","tests.DualListBoxTest","","tests.DualListBoxTest","TestAddAllElementButton","TestAddAllElementButton()",""
"broken","Tue Jun 21 21:07:07 GMT 2022","Tue Jun 21 21:07:07 GMT 2022","202","","tests.RadioButtonTest","","tests.RadioButtonTest","TestSingleCheckedButton","TestSingleCheckedButton()",""
"broken","Tue Jun 21 21:07:08 GMT 2022","Tue Jun 21 21:07:08 GMT 2022","159","","tests.InputFieldTest","","tests.InputFieldTest","TestSumTwoInvalidInputs","TestSumTwoInvalidInputs()",""
"broken","Tue Jun 21 21:07:08 GMT 2022","Tue Jun 21 21:07:08 GMT 2022","139","","tests.AlertTest","","tests.AlertTest","TestInputCancel","TestInputCancel()",""
